A16.01.031.003	Устранение рубцовой деформации челюстно-лицевой области и шеи с замещением дефекта реваскуляризированным лоскутом
A16.01.035	Иссечение кожи и подкожной жировой клетчатки
A16.01.035.001	Иссечение кожи и подкожной жировой клетчатки в боковых отделах лица
A16.01.035.002	Иссечение кожи и подкожно-жировой клетчатки в области нижней конечности
A16.01.035.003	Иссечение кожи и подкожно-жировой клетчатки в области верхней конечности
A16.02.002	Удаление новообразования мышцы
A16.02.003	Удаление новообразования сухожилия
A16.02.007	Освобождение мышцы из рубцов и сращений (миолиз)
A16.02.008	Освобождение сухожилия из рубцов и сращений (тенолиз)
A16.03.091	Удаление новообразования костей свода черепа
A16.06.009.001	Лимфаденэктомия абдоминальная при злокачественных новообразованиях желудка стандартная I уровня
A16.06.009.002	Лимфаденэктомия абдоминальная при злокачественных новообразованиях желудка расширенная II уровня
A16.06.009.003	Лимфаденэктомия при злокачественных новообразованиях желудка расширенная III уровня
A16.08.035	Удаление новообразования полости носа
A16.08.035.001	Удаление новообразования полости носа с использованием видеоэндоскопических технологий
A16.08.040	Удаление новообразования гортани
A16.08.040.001	Удаление новообразования гортани микрохирургическое
A16.08.040.002	Удаление новообразования гортани методом ультразвуковой деструкции
A16.08.040.003	Удаление новообразования гортани методом лазерной деструкции
A16.08.040.004	Удаление новообразования гортани методом радиоволновой деструкции
A16.08.040.005	Удаление новообразования гортани методом аргоноплазменной деструкции
A16.08.040.006	Удаление новообразования гортани с использованием видеоэндоскопических технологий
A16.08.040.007	Удаление новообразования голосовой складки эндоларингеальное
A16.08.040.008	Удаление новообразования надгортанника эндоларингеальное
A16.08.041	Удаление рубца гортани
A16.08.041.001	Удаление рубца гортани микрохирургическое
A16.08.041.002	Удаление рубца гортани методом ультразвуковой деструкции
A16.08.041.003	Удаление рубца гортани методом лазерной деструкции
A16.08.041.004	Удаление рубца гортани методом радиоволновой деструкции
A16.08.041.005	Удаление рубца гортани методом аргоноплазменной деструкции
A16.08.042	Удаление новообразования трахеи
A16.08.042.001	Удаление папиллом трахеи микрохирургическое
A16.08.042.002	Удаление новообразования трахеи методом лазерной деструкции
A16.08.042.003	Эндоскопическая лазерная деструкция опухоли трахеи
A16.08.044	Удаление новообразования верхних дыхательных путей с применением микрохирургической, эндоскопической, навигационной техники, а также с эндоваскулярной эмболизацией сосудов микроэмболами или при помощи адгезивного агента 
A16.08.049	Эндоскопическое электрохирургическое удаление новообразования полости носа
A16.08.050	Эндоскопическое электрохирургическое удаление новообразования придаточных пазух
A16.08.051	Эндоскопическое электрохирургическое удаление новообразования гортани
A16.08.054	Удаление новообразования глотки
A16.08.054.001	Удаление новообразования глотки эндоларингеальное
A16.08.054.002	Удаление новообразования глотки методом лазерной деструкции
A16.08.056	Удаление новообразования околоносовых пазух носа
A16.08.062	Удаление новообразования носовой перегородки методом лазерной деструкции
A16.08.063	Лакунотомия лазерная
A16.08.074	Лазерная деструкция сосудов носовой перегородки
A16.08.075	Лазерная деструкция трубного валика эндоскопическая
A16.08.077	Рассечение рубцовых стриктур трахеи
A16.09.009.006	Лобэктомия расширенная при новообразованиях легких
A16.09.009.007	Билобэктомия расширенная при новообразованиях легких
A16.09.013	Удаление новообразования легкого (атипичная резекция)
A16.09.013.002	Комбинированная операция удаления новообразования легкого и коррекция плевральной полости: торакомиопластика, транспозиция диафрагмы
A16.09.013.003	Удаление новообразования легкого (атипичная резекция). Операции по коррекции плевральной полости: торакомиопластика, пересадка диафрагмы
A16.09.013.004	Удаление новообразования легкого (атипичная резекция). Видеоторакоскопическая резекция легких при туберкулезе
A16.09.013.005	Роботассистированное удаление новообразования легкого (атипичная резекция) 
A16.09.013.006	Удаление новообразования легкого (атипичная резекция) видеоторакоскопическое
A16.09.037	Удаление новообразования грудной стенки
A16.09.037.001	Удаление новообразования грудной стенки с использованием видеоторакоскопической техники
A16.10.020	Трансмиокардиальная лазерная реваскуляризация
A16.10.022	Удаление новообразования сердца
A16.11.002	Удаление новообразования средостения 
A16.11.002.001	Удаление новообразования средостения с использованием видеоэндоскопических технологий
A16.11.002.002	Удаление новообразования средостения комбинированное
A16.11.002.003	Удаление новообразования средостения расширенное
A16.11.002.004	Удаление новообразования средостения с реконструктивно-пластическим компонентом
A16.12.004.006	Коронарное шунтирование в сочетании с трансмиокардиальной лазерной реваскуляризацией сердца
A16.12.004.007	Коронарное шунтирование в сочетании с трансмиокардиальной лазерной реваскуляризацией сердца в условиях искусственного кровообращения 
A16.12.020.001	Остановка кровотечения из периферического сосуда эндоскопическая с использованием электрокоагуляции
A16.12.051.003	Эндоваскулярная эмболизация сосудов при новообразованиях кожи, подкожной клетчатки, придатков кожи
A16.12.051.004	Эндоваскулярная эмболизация сосудов при новообразованиях соединительной ткани
A16.12.051.005	Эндоваскулярная эмболизация сосудов при новообразованиях костей и суставных хрящей
A16.12.051.006	Эндоваскулярная эмболизация сосудов при новообразованиях печени и желчевыводящих путей
A16.12.051.007	Эндоваскулярная эмболизация сосудов при новообразованиях вульвы
A16.12.051.008	Эндоваскулярная эмболизация сосудов при новообразованиях влагалища
A16.12.051.009	Эндоваскулярная эмболизация сосудов при новообразованиях шейки матки
A16.12.051.010	Эндоваскулярная эмболизация сосудов при новообразованиях матки
A16.12.051.011	Эндоваскулярная эмболизация сосудов при новообразованиях яичника
A16.12.051.012	Эндоваскулярная эмболизация сосудов при новообразованиях женских половых органов
A16.12.051.013	Эндоваскулярная эмболизация сосудов при новообразованиях щитовидной железы 
A16.12.051.014	Эндоваскулярная эмболизация сосудов при новообразованиях надпочечника
A16.12.051.015	Эндоваскулярная эмболизация сосудов при новообразованиях эндокринных желез и родственных структур
A16.12.051.016	Эндоваскулярная эмболизация сосудов при новообразованиях периферических нервов и вегетативной нервной системы
A16.12.051.017	Эндоваскулярная эмболизация сосудов при новообразованиях забрюшинного пространства
A16.12.051.018	Эндоваскулярная эмболизация сосудов при новообразованиях брюшины
A16.12.051.019	Эндоваскулярная эмболизация сосудов при новообразованиях плаценты
A16.12.051.020	Эндоваскулярная эмболизация сосудов при новообразованиях мягких тканей
A16.12.052	Удаление сосудистого новообразования
A16.14.037	Радиочастотная абляция, термоабляция, криодеструкция опухолей печени
A16.14.037.001	Лапароскопическая криодеструкция новообразований печени
A16.14.037.002	Лапароскопическая термоабляция новообразований печени
A16.16.039	Эндоскопическая хирургия при новообразованиях желудка
A16.16.041	Эндоскопическая хирургия при новообразованиях пищевода
A16.16.045	Рассечение рубцовой стриктуры пищевода
A16.16.051	Эндоскопическое электрохирургическое удаление новообразования пищевода
A16.16.052	Эндоскопическое электрохирургическое удаление новообразования желудка
A16.16.063	Рассечение рубцовых стриктур желудка
A16.17.015	Эндоскопическое электрохирургическое удаление новообразования тонкой кишки
A16.17.022	Рассечение рубцовых стриктур тонкой кишки
A16.18.026	Лапароскопическое удаление новообразования толстой кишки
A16.18.027	Эндоскопическое электрохирургическое удаление новообразования толстой кишки
A16.18.034	Рассечение рубцовых стриктур толстой кишки
A16.19.025	Микрохирургия при новообразованиях прямой кишки эндоскопическая
A16.19.026	Реконструкция при новообразованиях прямой кишки
A16.19.026.001	Реконструкция при новообразованиях прямой кишки эндоскопическая 
A16.19.028	Реконструкция пищеводно-кишечного анастомоза при рубцовых деформациях, не подлежащих эндоскопическому лечению
A16.19.030	Эндоскопическое электрохирургическое удаление новообразования ректосигмоидного соединения
A16.19.031	Эндоскопическое электрохирургическое удаление новообразования прямой кишки
A16.19.032	Эндоскопическое электрохирургическое удаление новообразования заднего прохода (ануса) и анального канала
A16.19.033	Иссечение новообразований перианальной области и анального канала
A16.19.039	Удаление новообразования параректальной клетчатки
A16.20.031	Иссечение новообразования молочной железы
A16.20.036.002	Лазерная вапоризация шейки матки
A16.20.036.004	Криодеструкция шейки матки
A16.20.059.001	Удаление новообразования влагалища
A16.20.059.003	Электроэксцизия новообразования влагалища
A16.20.069	Удаление новообразования малой половой губы
A16.20.089	Удаление новообразования придатков матки
A16.20.096	Удаление новообразования вульвы
A16.20.096.001	Электроэксцизия новообразования вульвы
A16.20.097	Электроэксцизия новообразования шейки матки
A16.21.005	Лазерная вапоризация простаты
A16.21.041.001	Лазерная энуклеация простаты
A16.21.043	Удаление доброкачественных новообразований полового члена
A16.21.044	Реконструктивная операция кожи полового члена
A16.21.045	Реконструктивная операция кожи мошонки
A16.22.014	Удаление новообразования гипофиза
A16.22.014.001	Удаление новообразования гипофиза трансназальным доступом 
A16.22.014.002	Удаление новообразования гипофиза транскраниальным доступом
A16.22.014.003	Удаление новообразования гипофиза трансназальным микроскопическим доступом
A16.22.014.004	Удаление новообразования гипофиза с применением микрохирургической техники и интраоперационной навигации
A16.22.014.005	Удаление новообразования гипофиза эндоназальным доступом с использованием видеоэндоскопических технологий
A16.22.014.006	Удаление новообразования гипофиза трансназальным доступом с использованием видеоэндоскопических технологий
A16.23.024	Удаление новообразований головного мозга микрохирургическое
